molregno,doc_id,canonical_smiles,compound_name,mw_freebase,alogp,hba,hbd,psa,rtb,ro3_pass,num_ro5_violations,acd_most_bpka,acd_logp,acd_logd,molecular_species,full_mwt,aromatic_rings,heavy_atoms,num_alerts,qed_weighted,mw_monoisotopic,full_molformula,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,max_phase,therapeutic_flag,structure_type,molecule_type,first_approval,natural_product,availability_type,withdrawn_flag,rn
304798,-1,C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,Fulvestrant,606.77,8.44,3,2,76.74,15,N,2,,8.07,8.07,NEUTRAL,606.77,1,41,2,0.16,606.3166,C32H47F5O3S,3,2,1,4,1,MOL,Small molecule,2002,1,1,0,1
31289,100207,Nc1ccncc1,DALFAMPRIDINE,94.11,-0.07,2,1,38.9,0,Y,0,9.26,0.34,-1.43,BASE,94.11,1,7,0,0.49,94.0531,C5H6N2,2,2,0,4,1,MOL,Small molecule,2010,0,1,0,1
33679,59306,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,Finasteride,372.54,3.17,2,2,58.2,2,N,0,,3.83,3.83,NEUTRAL,372.54,0,27,0,0.78,372.2777,C23H36N2O2,4,2,0,4,1,MOL,Small molecule,1992,1,1,0,1
341382,84147,COc1ccccc1OCC(O)CN2CCN(CC(=O)Nc3c(C)cccc3C)CC2,,427.54,2.99,6,2,74.27,9,N,0,6.54,1.31,1.28,NEUTRAL,427.54,2,31,0,0.64,427.2471,C24H33N3O4,7,2,0,4,1,MOL,Small molecule,2006,0,1,0,1
34197,75454,CN1CCN(CC1)C2=Nc3ccccc3Nc4sc(C)cc24,OLANZAPINE,312.43,2.69,4,1,59.11,1,N,0,7.78,3.08,2.35,NEUTRAL,312.43,2,22,0,0.88,312.1409,C17H20N4S,4,1,0,4,1,MOL,Small molecule,1996,0,1,0,1
364141,17494,Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5,Pimozide,461.55,5.52,2,1,35.58,7,N,1,9.26,5.76,4.37,BASE,461.55,3,34,0,0.5,461.2279,C28H29F2N3O,4,1,1,4,1,MOL,Small molecule,1984,0,1,0,1
366278,100208,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,BRINZOLAMIDE,383.51,-0.77,6,2,163.79,7,N,0,6.78,4.3,4.19,NEUTRAL,383.51,1,23,1,0.59,383.0643,C12H21N3O5S3,8,3,0,4,1,MOL,Small molecule,1998,0,1,0,1
372438,100208,CCC[C@@]1(CCc2ccccc2)CC(=C([C@H](CC)c3cccc(NS(=O)(=O)c4ccc(cn4)C(F)(F)F)c3)C(=O)O1)O,TIPRANAVIR,602.66,6.95,6,2,113.97,12,N,2,,6.92,2.9,ACID,602.66,3,42,1,0.22,602.2062,C31H33F3N2O5S,7,2,1,4,1,MOL,Small molecule,2005,0,1,0,1
373856,-1,[Na+].C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)S1(=O)=O)C(=O)[O-],Tazobactam Sodium,300.29,-1.19,7,1,130.84,3,N,0,0.85,0.6,-3.13,ACID,322.27,1,20,1,0.69,300.0528,C10H11N4NaO5S,9,1,0,4,1,MOL,Small molecule,1993,1,1,0,1
38898,100208,Nc1nc2ccc(OC(F)(F)F)cc2s1,RILUZOLE,234.2,3.83,3,1,76.38,2,N,0,2.96,2.92,2.92,NEUTRAL,234.2,2,15,0,0.86,234.0075,C8H5F3N2OS,3,2,0,4,1,MOL,Small molecule,1995,0,1,0,1
444419,100208,O[N+](=O)[O-].Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)c(Cl)c1,MICONAZOLE NITRATE,416.13,5.65,2,0,27.05,6,N,1,6.65,4.97,4.9,NEUTRAL,479.14,3,25,0,0.52,413.986,C18H14Cl4N2O.HNO3,3,0,1,4,1,MOL,Small molecule,1974,0,2,0,1
458773,100207,CCOc1cc(ccc1OC)[C@@H](CS(=O)(=O)C)N2C(=O)c3cccc(NC(=O)C)c3C2=O,APREMILAST,460.5,1.51,7,1,127.46,8,N,0,,0.48,0.48,NEUTRAL,460.5,2,32,1,0.59,460.1304,C22H24N2O7S,9,1,0,4,1,MOL,Small molecule,2014,0,1,0,1
470800,-1,[K+].CN1C(=O)C(=C(N=C1C(C)(C)NC(=O)c2oc(C)nn2)C(=O)NCc3ccc(F)cc3)[O-],Raltegravir Potassium,444.42,-0.29,7,3,150.01,6,N,0,0.42,2.72,-0.09,ACID,482.51,2,32,0,0.55,444.1557,C20H20FKN6O5,11,3,1,4,1,MOL,Small molecule,2007,0,1,0,1
518361,100207,C[C@@]12CCCCC[C@@H](Cc3ccc(O)cc13)[C@@H]2N,DEZOCINE,245.36,3.48,2,2,46.25,0,N,0,10.55,3.68,0.99,BASE,245.36,1,18,0,0.74,245.178,C16H23NO,2,3,0,4,1,MOL,Small molecule,1989,0,0,0,1
551486,-1,Cl.O=C1N(C[C@H]2CCCc3cccc1c23)[C@@H]4CN5CCC4CC5,Palonosetron Hydrochloride,296.41,2.75,2,0,23.55,1,Y,0,9.77,2.46,0.66,BASE,332.87,1,22,0,0.8,296.1889,C19H25ClN2O,3,0,0,4,1,MOL,Small molecule,2003,0,1,0,1
591037,100207,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@H]1C(=O)CO,DESOXIMETASONE,376.46,2.38,4,2,74.59,2,N,0,,2.22,2.22,NEUTRAL,376.46,0,27,0,0.78,376.205,C22H29FO4,4,2,0,4,1,MOL,Small molecule,1977,1,1,0,1
674307,-1,CC1(C)S[C@@H]2[C@H](NC(=O)C3(N)CCCCC3)C(=O)N2[C@H]1C(=O)O,Cyclacillin,341.43,-2.09,6,3,138.03,3,N,0,7.36,1.21,-2.05,ACID,341.43,0,23,1,0.5,341.1409,C15H23N3O4S,7,4,0,4,1,MOL,Small molecule,1979,1,0,0,1
674395,100208,CC(=O)O.CC(C)(C)NCC(O)c1ccc(O)c(CO)n1,PIRBUTEROL ACETATE,240.3,0.33,5,4,85.61,5,N,0,9.5,0.04,-1.97,BASE,300.35,1,17,0,0.6,240.1474,C14H24N2O5,5,4,0,4,1,MOL,Small molecule,1986,0,1,0,1
674436,-1,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(c3)C(F)(F)F)cc2)ccn1.Cc4ccc(cc4)S(=O)(=O)O,Sorafenib Tosylate,464.82,4.18,4,3,92.35,6,N,0,2.66,4.82,4.82,NEUTRAL,637.03,3,32,0,0.51,464.0863,C28H24ClF3N4O6S,7,3,0,4,1,MOL,Small molecule,2005,0,1,0,1
674449,-1,C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@H]1[C@@H]2CN(C[C@H]12)c3nc4N(C=C(C(=O)O)C(=O)c4cc3F)c5ccc(F)cc5F.CS(=O)(=O)O,ALATROFLOXACIN MESYLATE,558.51,-1.18,9,4,157.96,7,N,1,8.13,0.96,-1.22,ACID,654.61,2,40,1,0.31,558.1839,C27H29F3N6O8S,11,5,1,4,1,MOL,Small molecule,1997,0,-2,1,1
674575,59306,CC(=O)O[C@H]1CC[C@@H]2[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(OC(=O)C)C#C)[C@@H]3CCC2=C1,Ethynodiol Diacetate,384.51,4.97,4,0,52.6,4,N,0,,5.45,5.45,,384.51,0,28,3,0.39,384.2301,C24H32O4,4,0,0,4,1,MOL,Small molecule,1966,1,1,0,1
674643,100208,CCCc1nc(c(C(=O)OCC2=C(C)OC(=O)O2)n1Cc3ccc(cc3)c4ccccc4c5nnn[nH]5)C(C)(C)O,OLMESARTAN MEDOXOMIL,558.59,4.37,10,2,154.34,11,N,1,4.55,2.8,0.82,ACID,558.59,4,41,1,0.25,558.2227,C29H30N6O6,12,2,1,4,1,MOL,Small molecule,2002,0,1,0,1
674686,100146,Cl.COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc4C(=O)C(=CN(C5CC5)c14)C(=O)O,MOXIFLOXACIN HYDROCHLORIDE,401.43,-0.7,7,2,82.11,4,N,0,10.63,2.83,0.31,ZWITTERION,437.89,1,29,1,0.65,401.1751,C21H25ClFN3O4,7,2,0,4,1,MOL,Small molecule,1999,0,1,0,1
674732,-1,Br.CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,Citalopram Hydrobromide,324.39,3.72,3,0,36.26,5,N,0,9.57,3.48,1.35,BASE,405.3,2,24,0,0.84,324.1638,C20H22BrFN2O,3,0,0,4,1,MOL,Small molecule,1998,0,1,0,1
674813,100207,C[C@](N)(Cc1ccc(O)cc1)C(=O)O,METYROSINE,195.22,-1.54,4,3,83.55,3,N,0,9.09,-0.01,-2.52,ZWITTERION,195.22,1,14,0,0.55,195.0895,C10H13NO3,4,4,0,4,1,MOL,Small molecule,1979,0,1,0,1
674829,100208,CC(C)(C)CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C,TRIAMCINOLONE HEXACETONIDE,532.64,3.12,7,1,99.13,6,N,1,,4.49,4.49,NEUTRAL,532.64,0,38,1,0.53,532.2836,C30H41FO7,7,1,0,4,1,MOL,Small molecule,1969,1,1,0,1
674891,100208,O.Cl.CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,METOCLOPRAMIDE HYDROCHLORIDE HYDRATE,299.8,1.78,4,2,67.59,7,N,0,9.08,2.16,0.3,BASE,354.27,1,20,1,0.75,299.1401,C14H25Cl2N3O3,5,3,0,4,1,MOL,Small molecule,1979,0,1,0,1
674953,-1,Cl.CC(C)(C)NCC(O)COc1cccc2NC(=O)CCc12,Carteolol Hydrochloride,292.37,1.28,4,3,70.59,6,N,0,9.52,1.34,-0.74,BASE,328.83,1,21,0,0.74,292.1787,C16H25ClN2O3,5,3,0,4,1,MOL,Small molecule,1988,0,1,0,1
674967,100208,COCC1=C(N2[C@H](SC1)[C@H](NC(=O)\C(=N/OC)\c3csc(N)n3)C2=O)C(=O)OC(C)OC(=O)OC(C)C,CEFPODOXIME PROXETIL,557.6,0.72,13,2,234.5,13,N,2,1.7,2.95,2.86,NEUTRAL,557.6,1,37,5,0.11,557.125,C21H27N5O9S2,14,3,1,4,1,MOL,Small molecule,1992,1,1,0,1
675090,75454,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(=O)C,MEGESTROL ACETATE,384.51,3.51,4,0,60.44,3,N,0,,3.75,3.75,,384.51,0,28,1,0.7,384.2301,C24H32O4,4,0,0,4,1,MOL,Small molecule,1971,1,1,0,1
675101,92167,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1.OC(=O)CCC(=O)O,SUMATRIPTAN SUCCINATE,295.4,1.44,3,2,73.58,6,N,0,9.49,0.44,-1.45,BASE,413.49,2,20,0,0.85,295.1354,C18H27N3O6S,5,2,0,4,1,MOL,Small molecule,1992,0,1,0,1
675733,-1,CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.CNC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.C[C@@H](O[C@H]1OCCN(CC2=NN(C(=O)N2)P(=O)(O)O)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,Fosaprepitant Dimeglumine,614.41,4.36,8,3,133.74,9,N,1,4.38,1.97,-2.29,ACID,1004.83,2,41,2,0.28,614.1165,C37H56F7N6O16P,10,3,0,4,1,MOL,Small molecule,2008,0,1,0,1
685091,-1,Cn1c(N)c(NC(=O)NCCN)c[n+]1CC2=C(N3[C@H](SC2)[C@H](NC(=O)\C(=N/OC(C)(C)C(=O)[O-])\c4nsc(N)n4)C3=O)C(=O)O.OS(=O)(=O)O,CEFTOLOZANE SULFATE,666.69,-6.4,15,7,355.74,12,N,3,7.95,-6.56,-5.07,ACID,764.77,2,45,4,0.05,666.1751,C23H32N12O12S3,20,10,2,4,1,MOL,Small molecule,2014,1,1,0,1
73548,-1,CC1Nc2cc(Cl)c(cc2C(=O)N1c3ccccc3C)S(=O)(=O)N,Metolazone,365.83,2.46,4,2,100.88,2,N,0,,3.16,3.16,NEUTRAL,365.83,2,24,0,0.85,365.0601,C16H16ClN3O3S,6,3,0,4,1,MOL,Small molecule,1973,0,1,0,1
83044,-1,[Na+].[Na+].[O-]P(=O)([O-])OCN1C(=O)NC(C1=O)(c2ccccc2)c3ccccc3,Fosphenytoin Sodium,362.27,1.68,6,3,125.98,5,N,0,,-1.06,-6.08,ACID,406.24,2,25,2,0.55,362.0668,C16H13N2O6P.2Na,8,3,0,4,1,MOL,Small molecule,1996,0,1,0,1
1038357,-1,Cl.NC(=O)c1oc2ccc(cc2c1)N3CCN(CCCCc4c[nH]c5ccc(cc45)C#N)CC3,Vilazodone Hydrochloride,441.52,4.54,4,2,102.29,7,N,0,,2.59,,NEUTRAL,477.99,4,33,1,0.41,441.2165,C26H28ClN5O2,7,3,0,4,1,MOL,Small molecule,2011,0,1,0,1
1051125,100208,Cl.CN(C)CCC=C1c2ccccc2COc3ccccc13,DOXEPIN HYDROCHLORIDE,279.38,3.91,2,0,12.47,3,N,0,9.19,3.84,2.06,BASE,315.84,2,21,0,0.84,279.1623,C19H22ClNO,2,0,0,4,1,MOL,Small molecule,1969,0,1,0,1
116349,64690,CCOc1nc2cccc(C(=O)OC(C)OC(=O)OC3CCCCC3)c2n1Cc4ccc(cc4)c5ccccc5c6nn[nH]n6,Candesartan cilexetil,610.66,7.35,10,1,143.34,13,N,2,3.93,8.12,6.15,ACID,610.66,5,45,2,0.11,610.254,C33H34N6O6,12,1,2,4,1,MOL,Small molecule,1998,0,1,0,1
119498,100207,Cc1cc2c(cc1C(=C)c3ccc(cc3)C(=O)O)C(C)(C)CCC2(C)C,BEXAROTENE,348.48,6.41,2,1,37.29,3,N,1,,6.9,3.97,ACID,348.48,2,26,0,0.7,348.2089,C24H28O2,2,1,1,4,1,MOL,Small molecule,1999,0,1,0,1
127755,-1,NCCCCCC(=O)O,Aminocaproic acid,131.17,-2.16,3,2,63.32,5,N,0,10.64,0.03,-2.47,ZWITTERION,131.17,0,9,1,0.42,131.0946,C6H13NO2,3,3,0,4,1,MOL,Small molecule,1964,0,1,0,1
1369608,-1,Nc1nc(CC(=O)Nc2ccc(CCNC[C@H](O)c3ccccc3)cc2)cs1,Mirabegron,396.51,2.26,5,4,128.51,9,N,0,8.9,2.89,1.23,BASE,396.51,3,28,1,0.41,396.162,C21H24N4O2S,6,5,0,4,1,MOL,Small molecule,2012,0,1,0,1
1380067,-1,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CCC2(O)C#C,Norgestrel,312.45,4.77,2,1,37.29,1,N,0,,3.37,3.37,NEUTRAL,312.45,0,23,1,0.71,312.2089,C21H28O2,2,1,0,4,1,MOL,Small molecule,1968,1,1,0,1
139225,59306,OC(=O)CCc1oc(c2ccccc2)c(n1)c3ccccc3,Oxaprozin,293.32,3.59,3,1,63.33,5,N,0,0.8,3.15,0.09,ACID,293.32,3,22,0,0.78,293.1052,C18H15NO3,4,1,0,4,1,MOL,Small molecule,1992,0,1,0,1
1449220,-1,COCCOCCOCCOCCOCCOCCOCCO[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5O[C@@H]1[C@]2(CCN3CC=C)c45.OC(=O)C(=O)O,NALOXEGOL OXALATE,651.78,0.95,12,2,126.77,24,N,2,6.51,-0.94,-1.02,NEUTRAL,741.82,1,46,2,0.12,651.3619,C36H55NO15,12,2,1,4,1,MOL,Small molecule,2014,1,1,0,1
1590761,-1,CC(C)COc1ccc(CNC(=O)N(Cc2ccc(F)cc2)C3CCN(C)CC3)cc1.CC(C)COc4ccc(CNC(=O)N(Cc5ccc(F)cc5)C6CCN(C)CC6)cc4.OC(C(O)C(=O)O)C(=O)O,PIMAVANSERIN TARTRATE,427.55,4.23,3,1,44.81,8,N,0,8.65,4.09,3.1,BASE,1005.2,2,31,0,0.69,427.2635,C54H74F2N6O10,5,1,0,4,1,MOL,Small molecule,2016,0,1,0,1
1673803,-1,CCC[C@@H]1C[C@H](N(C)C1)C(=O)N[C@H]([C@H](C)Cl)[C@H]2O[C@H](SC)[C@H](OP(=O)(O)O)[C@@H](O)[C@H]2O,Clindamycin Phosphate,504.96,1.21,10,5,183.9,9,N,1,8.74,-0.42,-3.75,ZWITTERION,504.96,0,31,2,0.23,504.1462,C18H34ClN2O8PS,10,5,0,4,1,MOL,Small molecule,1972,1,1,0,1
1674197,100207,O.CC=CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C2=O)C(=O)O,CEFPROZIL,389.43,-2.03,7,4,158.26,5,N,0,7.17,-0.6,-3.76,ACID,407.44,1,27,1,0.42,389.1045,C18H21N3O6S,8,5,0,4,1,MOL,Small molecule,1991,1,1,0,1
17169,64482,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc3ccccc3)NC(=O)[C@H](CC(=O)N)NC(=O)c4ccc5ccccc5n4,Saquinavir,670.84,3.67,7,5,166.74,13,N,1,6.3,5.08,5.05,NEUTRAL,670.84,3,49,0,0.19,670.3843,C38H50N6O5,11,6,2,4,1,MOL,Small molecule,1995,0,1,0,1
1926757,-1,CN1CCC(=C2c3ccccc3CCc4cccnc24)CC1.OC(=O)\C=C/C(=O)O.OC(=O)\C=C/C(=O)O,Azatadine Maleate,290.4,4.08,2,0,16.13,0,N,0,8.74,2.69,1.25,BASE,522.55,2,22,0,0.73,290.1783,C28H30N2O8,2,0,0,4,1,MOL,Small molecule,1977,0,0,0,1
1926912,-1,COc1cc(N(C)CCN(C)C)c(NC(=O)C=C)cc1Nc2nccc(n2)c3cn(C)c4ccccc34.CS(=O)(=O)O,OSIMERTINIB MESYLATE,499.61,4.67,7,2,87.54,10,N,0,9.06,4.33,2.62,BASE,595.71,4,37,1,0.31,499.2696,C29H37N7O5S,9,2,0,4,1,MOL,Small molecule,2015,0,1,0,1
22391,100207,CCCCC(C)(O)C\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)OC,MISOPROSTOL,382.53,3.94,5,2,83.83,14,N,0,,3.8,3.8,NEUTRAL,382.53,0,27,3,0.27,382.2719,C22H38O5,5,2,0,4,1,MOL,Small molecule,1988,1,1,0,1
226880,100208,Cc1ccc(cc1)\C(=C/CN2CCCC2)\c3cccc(\C=C\C(=O)O)n3,ACRIVASTINE,348.44,1.57,4,1,53.43,6,N,0,8.88,2.41,-0.11,ZWITTERION,348.44,2,26,1,0.81,348.1838,C22H24N2O2,4,1,0,4,1,MOL,Small molecule,1994,0,1,0,1
27308,-1,C[C@@H](c1ncncc1F)[C@](O)(Cn2cncn2)c3ccc(F)cc3F,Voriconazole,349.31,2.07,5,1,76.72,5,N,0,2.72,1.21,1.21,NEUTRAL,349.31,3,25,0,0.76,349.115,C16H14F3N5O,6,1,0,4,1,MOL,Small molecule,2002,0,1,0,1
33889,-1,NC1=Nc2c(ncn2[C@H]3C[C@H](O)[C@@H](CO)C3=C)C(=O)N1,Entecavir,277.28,-1.4,6,4,125.76,2,N,0,2.64,-1.97,-1.98,NEUTRAL,277.28,1,20,1,0.49,277.1175,C12H15N5O3,8,5,0,4,1,MOL,Small molecule,2005,1,1,0,1
345595,-1,COCCCC\C(=N/OCCN)\c1ccc(cc1)C(F)(F)F.OC(=O)\C=C/C(=O)O,Fluvoxamine Maleate,318.33,2.55,4,1,56.84,10,N,0,9.39,3.71,1.75,BASE,434.41,1,22,3,0.41,318.1555,C19H25F3N2O6,4,2,0,4,1,MOL,Small molecule,1994,0,1,0,1
400344,-1,NC(=O)[C@@H]1CCCN1C(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@@H]3CCC(=O)N3,Protirelin,362.38,-2.53,5,4,150.28,6,N,0,6.73,-2.93,-3.09,NEUTRAL,362.38,1,26,0,0.44,362.1703,C16H22N6O4,10,5,0,4,1,BOTH,Protein,1976,0,0,0,1
405365,100207,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C,FELODIPINE,384.25,3.55,5,1,64.63,6,N,0,2.73,4.76,4.76,NEUTRAL,384.25,1,25,1,0.76,383.0691,C18H19Cl2NO4,5,1,0,4,1,MOL,Small molecule,1991,0,1,0,1
418344,-1,ClCCN(CCCl)C1=CNC(=O)NC1=O,Uracil Mustard,252.1,0.09,3,2,61.44,5,N,0,,1,0.97,NEUTRAL,252.1,0,15,1,0.68,251.0228,C8H11Cl2N3O2,5,2,0,4,1,MOL,Small molecule,1962,0,0,0,1
51042,84147,Nc1cc(nc(N)[n+]1[O-])N2CCCCC2,,209.25,0.39,5,2,93.63,1,N,0,5.54,1.62,1.61,NEUTRAL,209.25,1,15,2,0.52,209.1277,C9H15N5O,6,4,0,4,1,MOL,Small molecule,1979,0,2,0,1
630322,-1,C[C@@H]1CCN(CCN1C(=O)c2cc(C)ccc2n3nccn3)c4oc5ccc(Cl)cc5n4,SUVOREXANT,450.92,4.11,5,0,80.29,3,N,0,1.47,3.27,3.27,NEUTRAL,450.92,4,32,0,0.47,450.1571,C23H23ClN6O2,8,0,0,4,1,MOL,Small molecule,2014,0,1,0,1
64200,-1,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,Triclosan,289.54,5.14,2,1,29.46,2,N,1,,5.34,5.2,NEUTRAL,289.54,2,17,0,0.83,287.9512,C12H7Cl3O2,2,1,1,4,1,MOL,Small molecule,1997,0,2,0,1
65494,100208,NC1=NC(=O)N(C=C1)[C@H]2CC[C@@H](CO)O2,ZALCITABINE,211.22,-0.99,5,2,88.15,2,N,0,4.26,-1.36,-1.36,NEUTRAL,211.22,0,15,0,0.61,211.0957,C9H13N3O3,6,3,0,4,1,MOL,Small molecule,1992,1,0,0,1
67010,84147,Cc1onc(c2ccccc2)c1c3ccc(cc3)S(=O)(=O)N,,314.36,2.6,3,1,94.57,3,N,0,,3.57,3.56,NEUTRAL,314.36,3,22,0,0.81,314.0725,C16H14N2O3S,5,2,0,4,1,MOL,Small molecule,2001,0,-2,1,1
