molregno,doc_id,company,country,dosage_form,route,trade_name,approval_date,ad_type,oral,topical,parenteral,rn
406787,67001,GlaxoSmithKline,UK,"TABLET, CHEWABLE",ORAL,ALBENZA,2015-06-11,DISCN,1,0,0,1
430546,63068,Roche,Switzerland,TABLET,ORAL,FANSIDAR,1982-01-01,DISCN,1,0,0,1
46727,75454,Ohmeda Pharm. Prods.,USA,TABLET,ORAL,NATEGLINIDE,2015-12-11,RX,1,0,0,1
4730,83113,Bristol-Myers Squibb,USA,TABLET,ORAL,HYDROXYUREA,2000-08-29,DISCN,1,0,0,1
486789,91874,Novartis,Switzerland,CAPSULE,ORAL,ISRADIPINE,2006-04-24,RX,1,0,0,1
490427,31870,National Institutes of Health,USA,INJECTABLE,INJECTION,ONCOVIN,1984-03-07,DISCN,0,0,1,1
495572,-1,Allergan,USA,"AEROSOL, FOAM",TOPICAL,FABIOR,2012-05-11,RX,0,1,0,1
498105,-1,DuPont,USA,INJECTABLE,INTRAVENOUS,DEFINITY,2001-07-31,RX,0,0,1,1
5028,50231,Kowa Company,Japan,CAPSULE,ORAL,THALOMID,1998-07-16,RX,1,0,0,1
505776,41816,Pfizer,USA,TABLET,ORAL,PROPRANOLOL HYDROCHLORIDE,1985-11-19,RX,1,0,0,1
591037,100207,Ohmeda Pharm. Prods.,USA,CREAM,TOPICAL,DESOXIMETASONE,2017-01-06,RX,0,1,0,1
624251,-1,DuPont,USA,INJECTABLE,INJECTION,BRETYLIUM TOSYLATE,1986-04-29,DISCN,0,0,1,1
674291,-1,Roche,Switzerland,CAPSULE,ORAL,OSELTAMIVIR PHOSPHATE,2016-08-03,RX,1,0,0,1
674310,100207,Pfizer,USA,TABLET,ORAL,SULLA,1982-01-01,DISCN,1,0,0,1
674349,56109,Roche,Switzerland,CREAM,VAGINAL,BUTOCONAZOLE NITRATE,1997-02-07,DISCN,0,1,0,1
674444,-1,Novartis,Switzerland,CREAM,TOPICAL,NAFTIN,1988-02-29,RX,0,1,0,1
674595,100208,Merck,USA,INJECTABLE,SUBCUTANEOUS,ARIXTRA,2004-05-28,RX,0,0,1,1
674611,100208,Astex Therapeutics,UK,SOLUTION,ORAL,ISMOTIC,1982-01-01,DISCN,1,0,0,1
674626,100208,Orion Pharma,Finland,TABLET,ORAL,FARESTON,1997-05-29,RX,1,0,0,1
674654,82088,Roche,Switzerland,CAPSULE,ORAL,A-POXIDE,1982-01-01,DISCN,1,0,0,1
674686,100146,Bayer-Schering,Germany,SOLUTION/DROPS,OPHTHALMIC,MOXEZA,2010-11-19,RX,0,1,0,1
674725,-1,Pfizer,USA,TABLET,ORAL,ALPHADROL,1982-01-01,DISCN,1,0,0,1
674755,92167,Novartis,Switzerland,CAPSULE,ORAL,DICLOFENAC POTASSIUM,2016-02-23,RX,1,0,0,1
674757,-1,Roche,Switzerland,TABLET,ORAL,ALEVE PM,2014-01-17,OTC,1,0,0,1
674770,-1,SanofiAventis,France,INJECTABLE,INJECTION,ARTICAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE,2010-06-18,RX,0,0,1,1
674829,100208,Pfizer,USA,INJECTABLE,INJECTION,ARISTOSPAN,1982-01-01,RX,0,0,1,1
674850,-1,SanofiAventis,France,CAPSULE,ORAL,BILOPAQUE,1982-01-01,DISCN,1,0,0,1
675007,-1,Pfizer,USA,TABLET,ORAL,RENOQUID,1982-01-01,DISCN,1,0,0,1
675069,-1,Pfizer,USA,INJECTABLE,INJECTION,ZEFAZONE IN PLASTIC CONTAINER,1992-12-29,DISCN,0,0,1,1
675085,100207,SanofiAventis,France,CAPSULE,ORAL,AMITIZA,2008-04-29,RX,1,0,0,1
675113,-1,Merck,USA,SOLUTION/DROPS,OPHTHALMIC,COSOPT,1998-04-07,RX,0,1,0,1
675128,-1,Carter-Wallace,USA,SOLUTION/DROPS,OPHTHALMIC,AKBETA,1996-10-29,RX,0,1,0,1
675462,-1,Pfizer,USA,INJECTABLE,INJECTION,NORMIFLO,1997-05-23,DISCN,0,0,1,1
685006,-1,GlaxoSmithKline,UK,TABLET,ORAL,TIVICAY,2016-06-09,RX,1,0,0,1
699405,50987,Ohmeda Pharm. Prods.,USA,INJECTABLE,INJECTION,MITHRACIN,1982-01-01,DISCN,0,0,1,1
699453,-1,3M Pharmaceuticals,USA,SUSPENSION/DROPS,OPHTHALMIC,LIVOSTIN,1993-11-10,DISCN,0,1,0,1
7494,45320,Bayer-Schering,Germany,SOLUTION,INHALATION,VENTAVIS,2005-12-08,RX,0,1,0,1
923,66755,Pfizer,USA,TABLET,ORAL,RAPAMUNE,2000-08-25,RX,1,0,0,1
94408,10214,Pfizer,USA,INJECTABLE,INJECTION,EPOPROSTENOL SODIUM,2008-04-23,RX,0,0,1,1
9495,71987,Merck,USA,TABLET,ORAL,LOVASTATIN,2001-12-17,RX,1,0,0,1
107119,6818,Bristol-Myers Squibb,USA,CAPSULE,ORAL,ZERIT,1994-06-24,DISCN,1,0,0,1
1158402,-1,Incyte,USA,TABLET,ORAL,JAKAFI,2011-11-16,RX,1,0,0,1
119162,100208,Pfizer,USA,SUSPENSION/DROPS,OPHTHALMIC,NEVANAC,2005-08-19,RX,0,1,0,1
1214046,84147,Pharmacyclics,USA,CAPSULE,ORAL,IMBRUVICA,2013-11-13,RX,1,0,0,1
1248733,-1,Mitsui Pharm,Japan,SOLUTION,INTRAVENOUS,ABLAVAR,2008-12-22,DISCN,0,0,1,1
1279,57368,AstraZeneca,UK,TABLET,ORAL,ATENOLOL,2006-12-27,RX,1,0,0,1
1341084,100208,SanofiAventis,France,INJECTABLE,SUBCUTANEOUS,FIRAZYR,2011-08-25,RX,0,0,1,1
134333,84147,Genta Inc,USA,TABLET,ORAL,KERLEDEX,1992-10-30,DISCN,1,0,0,1
1347273,100207,SanofiAventis,France,"SPRAY, METERED",NASAL,OMNARIS,2006-10-20,RX,0,1,0,1
13494,58988,Bayer-Schering,Germany,CREAM,TOPICAL,CLOTRIMAZOLE,2008-09-02,RX,0,1,0,1
1369669,-1,EUSA,UK,INJECTABLE,INJECTION,QUADRAMET,1997-03-28,RX,0,0,1,1
1376009,-1,Alcon Labs.,USA,SOLUTION/DROPS,OPHTHALMIC,EMADINE,1997-12-29,RX,0,1,0,1
1378030,-1,Otsuka,Japan,TABLET,ORAL,REXULTI,2015-07-10,RX,1,0,0,1
1382808,100208,GlaxoSmithKline,UK,TABLET,ORAL,TENATHAN,1982-01-01,DISCN,1,0,0,1
139045,59327,Novartis,Switzerland,TABLET,ORAL,"AMLODIPINE BESYLATE, VALSARTAN AND HYDROCHLOROTHIAZIDE",2015-06-03,RX,1,0,0,1
1425665,100207,Johnson & Johnson,USA,TABLET,ORAL,VIBERZI,2015-05-27,RX,1,0,0,1
144744,51887,Insmed,USA,CREAM,TOPICAL,ACTINEX,1992-09-04,DISCN,0,1,0,1
146,69951,SanofiAventis,France,SOLUTION/DROPS,OPHTHALMIC,OCUFLOX,1993-07-30,RX,0,1,0,1
150451,50855,Carter-Wallace,USA,TABLET,ORAL,FELBAMATE,2016-01-11,RX,1,0,0,1
1537268,-1,Merck,USA,TABLET,ORAL,TINDAL,1982-01-01,DISCN,1,0,0,1
1926758,59327,Pfizer,USA,CAPSULE,ORAL,CALDEROL,1982-01-01,DISCN,1,0,0,1
1926912,-1,AstraZeneca,UK,TABLET,ORAL,TAGRISSO,2015-11-13,RX,1,0,0,1
21459,58066,Essential Nutrition,UK,"FOR SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,VIVITROL,2006-04-13,RX,0,0,1,1
229172,64807,Merck,USA,INJECTABLE,"INTRAMUSCULAR, IV (INFUSION)",INVANZ,2001-11-21,RX,0,0,1,1
26386,98872,AstraZeneca,UK,INJECTABLE,INJECTION,MEROPENEM,2011-10-26,RX,0,0,1,1
27152,59306,Merck,USA,CREAM,TOPICAL,CELESTONE,1982-01-01,DISCN,0,1,0,1
308917,8959,Sanwa,Japan,CAPSULE,ORAL,RIDAURA,1985-05-24,RX,1,0,0,1
32869,10970,Novartis,Switzerland,TABLET,ORAL,BACLOFEN,2007-10-26,RX,1,0,0,1
33576,98976,Genomics Research Institute Novartis Foundation,USA,TABLET,ORAL,CAPRELSA,2011-04-06,RX,1,0,0,1
345595,-1,Abbott Laboratories,USA,TABLET,ORAL,FLUVOXAMINE MALEATE,2000-12-28,DISCN,1,0,0,1
365248,58118,Bayer-Schering,Germany,CAPSULE,ORAL,NIMODIPINE,2008-01-17,RX,1,0,0,1
397524,100208,Bristol-Myers Squibb,USA,TABLET,ORAL,ELIQUIS,2012-12-28,RX,1,0,0,1
416772,76418,Arno Therapeutics,USA,TABLET,ORAL,BRILINTA,2015-09-03,RX,1,0,0,1
430642,77450,Pfizer,USA,"TABLET, CHEWABLE",ORAL,SUPRAX,2010-10-25,RX,1,0,0,1
438435,-1,Cubist,USA,TABLET,ORAL,ZYTIGA,2011-04-28,RX,1,0,0,1
444750,390,Bristol-Myers Squibb,USA,TABLET,ORAL,CAPOZIDE 25/15,1984-10-12,DISCN,1,0,0,1
448986,92456,Bayer-Schering,Germany,TABLET,ORAL,ACARBOSE,2012-02-07,RX,1,0,0,1
453722,100208,Ohmeda Pharm. Prods.,USA,TABLET,ORAL,VERCYTE,1982-01-01,DISCN,1,0,0,1
460466,47440,3M Pharmaceuticals,USA,INJECTABLE,IV (INFUSION),DORIBAX,2010-10-05,RX,0,0,1,1
47340,-1,AstraZeneca,UK,TABLET,ORAL,TAMOXIFEN CITRATE,2003-02-20,RX,1,0,0,1
494630,-1,Neose Technologies,USA,TABLET,ORAL,ACTONEL,2000-04-14,RX,1,0,0,1
497291,100207,SanofiAventis,France,TABLET,ORAL,PRIFTIN,1998-06-22,RX,1,0,0,1
49931,82068,Pfizer,USA,SOLUTION,SUBCUTANEOUS,OTREXUP,2013-10-11,RX,0,0,1,1
51182,10892,Pfizer,USA,"INJECTABLE, LIPOSOMAL",INJECTION,DEPOCYT,1999-04-01,RX,0,0,1,1
53686,50798,Mochida Pharmaceuticals,Japan,CAPSULE,ORAL,TEMOZOLOMIDE,2016-03-23,RX,1,0,0,1
544432,100208,Novartis,Switzerland,TABLET,ORAL,BENAZEPRIL HYDROCHLORIDE,2006-03-08,RX,1,0,0,1
545075,100208,Elixir Pharmaceuticals,USA,TABLET,ORAL,DESIPRAMINE HYDROCHLORIDE,1996-02-09,RX,1,0,0,1
54547,20904,GlaxoSmithKline,UK,"FILM, EXTENDED RELEASE",TRANSDERMAL,SANCUSO,2008-09-12,RX,0,1,0,1
548913,-1,3M Pharmaceuticals,USA,CAPSULE,ORAL,LOPERAMIDE HYDROCHLORIDE,2005-08-04,OTC,1,0,0,1
550657,-1,Pfizer,USA,INJECTABLE,INJECTION,KETALAR,1982-01-01,RX,0,0,1,1
596044,100208,3M Pharmaceuticals,USA,TABLET,ORAL,ERGAMISOL,1990-06-18,DISCN,1,0,0,1
635,56112,Roche,Switzerland,INJECTABLE,INJECTION,FLUMAZENIL,2004-10-12,RX,0,0,1,1
674274,-1,GlaxoSmithKline,UK,TABLET,ORAL,NORMOZIDE,1987-04-06,DISCN,1,0,0,1
674279,-1,Eli Lilly,USA,"CAPSULE, DELAYED REL PELLETS",ORAL,CYMBALTA,2004-08-03,RX,1,0,0,1
674283,-1,Merck,USA,TABLET,ORAL,PROTRIPTYLINE HYDROCHLORIDE,2012-11-19,RX,1,0,0,1
674294,100208,Johnson & Johnson,USA,TABLET,ORAL,PERINDOPRIL ERBUMINE,2009-11-10,RX,1,0,0,1
674308,-1,Eli Lilly,USA,INJECTABLE,INJECTION,MOXAM,1982-01-01,DISCN,0,0,1,1
674339,-1,GlaxoSmithKline,UK,CAPSULE,ORAL,CLOXACILLIN SODIUM,1982-01-01,DISCN,1,0,0,1
674344,-1,Otsuka,Japan,TABLET,ORAL,RAXAR,1997-11-06,DISCN,1,0,0,1
674389,100208,Pfizer,USA,CREAM,TOPICAL,TZ-3,1983-02-18,DISCN,0,1,0,1
674557,-1,Boehringer-Ingelheim,Germany,CAPSULE,ORAL,MEXILETINE HYDROCHLORIDE,1995-05-16,RX,1,0,0,1
674564,-1,Johnson & Johnson,USA,TABLET,ORAL,TOLECTIN,1982-01-01,DISCN,1,0,0,1
674593,-1,Mallinckrodt,USA,INJECTABLE,INJECTION,OCTREOSCAN,1994-06-02,RX,0,0,1,1
674596,-1,Bristol-Myers Squibb,USA,INJECTABLE,INJECTION,ETOPOPHOS PRESERVATIVE FREE,1998-02-27,DISCN,0,0,1,1
674622,100208,Roche,Switzerland,"SPRAY, METERED",NASAL,SYNAREL,1990-02-13,RX,0,1,0,1
674645,-1,Medea Research,Italy,LIQUID,INHALATION,SEVOFLURANE,2002-07-02,RX,0,1,0,1
674672,-1,Roche,Switzerland,CAPSULE,ORAL,EMCYT,1982-01-01,RX,1,0,0,1
674684,56111,Ohmeda Pharm. Prods.,USA,LIQUID,INHALATION,SUPRANE,1992-09-18,RX,0,1,0,1
674708,53172,Merck,USA,INJECTABLE,INJECTION,PANCURONIUM BROMIDE,1988-03-23,DISCN,0,0,1,1
674782,-1,Merck,USA,TABLET,ORAL,RENORMAX,1994-12-29,DISCN,1,0,0,1
674801,-1,Roche,Switzerland,INJECTABLE,INJECTION,CYTOVENE,1989-06-23,RX,0,0,1,1
674901,-1,Roche,Switzerland,CAPSULE,ORAL,LIBRAX,1982-01-01,RX,1,0,0,1
674978,74905,Pfizer,USA,TABLET,ORAL,GLYCOPYRROLATE,2013-04-15,RX,1,0,0,1
674997,84147,Biogglan Labs,UK,INJECTABLE,INJECTION,PRECEF,1984-11-26,DISCN,0,0,1,1
675001,-1,Bristol-Myers Squibb,USA,SOLUTION/DROPS,OPHTHALMIC,ALAMAST,1999-09-24,DISCN,0,1,0,1
675083,53323,Essential Nutrition,UK,INJECTABLE,INJECTION,NALBUPHINE,1986-07-02,DISCN,0,0,1,1
675118,-1,GlaxoSmithKline,UK,"CAPSULE, EXTENDED RELEASE",ORAL,COREG CR,2006-10-20,RX,1,0,0,1
675551,-1,Advanced Magnetics Inc.,USA,INJECTABLE,INJECTION,FERIDEX I.V.,1996-08-30,DISCN,0,0,1,1
675736,-1,Poli Group,Italy,FOR SOLUTION,INTRAVESICAL,CYSVIEW KIT,2010-05-28,RX,0,0,1,1
699456,-1,Pfizer,USA,INJECTABLE,INJECTION,HEMABATE,1982-01-01,RX,0,0,1,1
84624,75428,Pfizer,USA,CAPSULE,ORAL,CEFDINIR,2008-01-07,RX,1,0,0,1
88316,38620,Pfizer,USA,CAPSULE,ORAL,GABAPENTIN,2003-09-12,RX,1,0,0,1
93117,56112,3M Pharmaceuticals,USA,SOLUTION/DROPS,OPHTHALMIC,PROFENAL,1988-12-23,DISCN,0,1,0,1
94571,46874,National Institutes of Health,USA,TABLET,ORAL,ANTABUSE,1983-12-08,RX,1,0,0,1
1031157,75466,Poli Group,Italy,TABLET,ORAL,CETIRIZINE HYDROCHLORIDE HIVES,2007-12-28,OTC,1,0,0,1
1038355,-1,Greenwich Pharmaceuticals,USA,TABLET,ORAL,LATUDA,2011-12-07,RX,1,0,0,1
1064511,60850,Pfizer,USA,INJECTABLE,INJECTION,ZANOSAR,1982-05-07,RX,0,0,1,1
1102940,-1,Pfizer,USA,TABLET,ORAL,DETROL,1998-03-25,RX,1,0,0,1
112665,53172,SanofiAventis,France,INJECTABLE,INJECTION,CEFOTAXIME AND DEXTROSE 3.9% IN PLASTIC CONTAINER,2004-07-29,DISCN,0,0,1,1
116349,64690,Takeda,Japan,TABLET,ORAL,CANDESARTAN CILEXETIL,2016-12-05,RX,1,0,0,1
123693,45370,Novartis,Switzerland,GEL,TOPICAL,DICLOFENAC SODIUM,2016-03-18,RX,0,1,0,1
13590,7447,National Institutes of Health,USA,INJECTABLE,INJECTION,MITOMYCIN,1998-04-30,RX,0,0,1,1
1376065,-1,Takeda,USA,TABLET,ORAL,EDARBI,2011-02-25,RX,1,0,0,1
1379758,100207,Targacept,USA,INJECTABLE,INJECTION,TECHNESCAN MAG3,1990-06-15,RX,0,0,1,1
1382812,53172,GlaxoSmithKline,UK,"TABLET, EFFERVESCENT",ORAL,ZANTAC 25,2004-04-01,DISCN,1,0,0,1
13928,-1,Roche,Switzerland,CAPSULE,ORAL,AMNESTEEM,2002-11-08,RX,1,0,0,1
139940,100208,Sepracor,USA,TABLET,ORAL,APTIOM,2013-11-08,RX,1,0,0,1
143284,59326,GlaxoSmithKline,UK,"TABLET, EXTENDED RELEASE",ORAL,AMOXICILLIN AND CLAVULANATE POTASSIUM,2010-04-21,RX,1,0,0,1
1448219,91088,Callistoga,USA,TABLET,ORAL,ZYDELIG,2014-07-23,RX,1,0,0,1
1590761,-1,Acadia,USA,TABLET,ORAL,NUPLAZID,2016-04-29,RX,1,0,0,1
1626740,-1,Abbott Laboratories,USA,TABLET,ORAL,VENCLEXTA,2016-04-11,RX,1,0,0,1
16308,54148,Knoll,Germany,TABLET,ORAL,ANSAID,1988-10-31,DISCN,1,0,0,1
169652,59327,Roche,Switzerland,CAPSULE,ORAL,ACITRETIN,2013-04-04,RX,1,0,0,1
1712,54366,Kyorin,Japan,SOLUTION/DROPS,OPHTHALMIC,GATIFLOXACIN,2011-08-19,DISCN,0,1,0,1
1927030,60365,Novartis,Switzerland,POWDER,INHALATION,SPIRIVA,2004-01-30,RX,0,1,0,1
2046,75953,Novartis,Switzerland,TABLET,ORAL,FUROSEMIDE,1982-07-27,DISCN,1,0,0,1
222633,75466,Monsanto,USA,TABLET,ORAL,TINDAMAX,2004-05-17,RX,1,0,0,1
243124,17281,Johnson Matthey,USA,INJECTABLE,IV (INFUSION),OXALIPLATIN,2012-08-08,RX,0,0,1,1
24418,-1,Roche,Switzerland,CAPSULE,ORAL,INVIRASE,1995-12-06,RX,1,0,0,1
253862,59306,Mochida Pharmaceuticals,Japan,CREAM,TOPICAL,HALOTEX,1982-01-01,DISCN,0,1,0,1
26280,65832,Pfizer,USA,TABLET,ORAL,LINEZOLID,2015-12-21,RX,1,0,0,1
2654,56111,Merck,USA,TABLET,ORAL,ETHACRYNIC ACID,2016-06-30,RX,1,0,0,1
26590,69738,Merck,USA,"TABLET, CHEWABLE",ORAL,MINTEZOL,1982-01-01,DISCN,1,0,0,1
27575,21670,Pfizer,USA,TABLET,ORAL,MEDROL,1982-01-01,RX,1,0,0,1
27610,54149,Merck,USA,"TABLET, ORALLY DISINTEGRATING",ORAL,MIRTAZAPINE,2005-08-31,DISCN,1,0,0,1
30072,100148,3M Pharmaceuticals,USA,INJECTABLE,INJECTION,FENTANYL CITRATE AND DROPERIDOL,1989-04-13,DISCN,0,0,1,1
328164,100208,Pfizer,USA,INTRAUTERINE DEVICE,INTRAUTERINE,LILETTA,2015-02-26,RX,0,1,0,1
353270,-1,Access,USA,SOLUTION,TOPICAL,KERYDIN,2014-07-07,RX,0,1,0,1
374548,54149,Novartis,Switzerland,TABLET,ORAL,FEMARA,1997-07-25,RX,1,0,0,1
38898,17239,Remedy Pharmaceuticals,USA,TABLET,ORAL,RILUZOLE,2016-03-30,RX,1,0,0,1
418401,2446,Pfizer,USA,POWDER,"IV (INFUSION), SUBCUTANEOUS",AZACITIDINE,2016-04-29,RX,0,0,1,1
4193,-1,Roche,Switzerland,CAPSULE,ORAL,TEGISON,1986-09-30,DISCN,1,0,0,1
421058,100207,Roche,Switzerland,"AEROSOL, METERED",INHALATION,AEROBID,1984-08-17,DISCN,0,1,0,1
421066,100207,Bristol-Myers Squibb,USA,TABLET,ORAL,AVALIDE,2005-03-15,DISCN,1,0,0,1
456123,-1,ISIS Pharmaceuticals,USA,SOLUTION,SUBCUTANEOUS,KYNAMRO,2013-01-29,RX,0,0,1,1
456266,-1,Sanwa,Japan,CAPSULE,ORAL,HYCAMTIN,2007-10-11,RX,1,0,0,1
508532,100208,GlaxoSmithKline,UK,POWDER,INHALATION,ARNUITY ELLIPTA,2014-08-20,RX,0,1,0,1
524710,100208,GlaxoSmithKline,Spain,INJECTABLE,INJECTION,PRISCOLINE,1985-02-22,DISCN,0,0,1,1
543171,100208,Roche,Switzerland,TABLET,ORAL,MEFLOQUINE HYDROCHLORIDE,2010-04-21,DISCN,1,0,0,1
548124,-1,Sigma Tau,Italy,TABLET,ORAL,CLONIDINE HYDROCHLORIDE AND CHLORTHALIDONE,1987-12-16,DISCN,1,0,0,1
551147,100208,Essential Nutrition,UK,"TABLET, EXTENDED RELEASE",ORAL,TARGINIQ,2014-07-23,DISCN,1,0,0,1
5582,58681,Pfizer,USA,TABLET,ORAL,GLYBURIDE,2002-11-14,DISCN,1,0,0,1
56131,75455,Pfizer,USA,TABLET,ORAL,TOLAZAMIDE,1986-01-14,DISCN,1,0,0,1
564291,100109,Pfizer,USA,TABLET,ORAL,REVATIO,2005-06-03,RX,1,0,0,1
609761,100207,UCB,Belgium,TABLET,ORAL,BRIVIACT,2016-05-12,RX,1,0,0,1
611647,-1,Monsanto,USA,TABLET,ORAL,TARCEVA,2004-11-18,RX,1,0,0,1
61680,53280,Bristol-Myers Squibb,USA,INJECTABLE,INJECTION,AZACTAM IN PLASTIC CONTAINER,1989-05-24,DISCN,0,0,1,1
63445,100207,Pfizer,USA,CAPSULE,ORAL,VANSIL,1982-01-01,DISCN,1,0,0,1
64200,17649,SanofiAventis,France,PASTE,DENTAL,COLGATE TOTAL,1997-07-11,OTC,0,1,0,1
6480,82130,AstraZeneca,UK,SOLUTION/DROPS,OPHTHALMIC,CROMOLYN SODIUM,1998-04-29,RX,0,1,0,1
674330,-1,Alcon Labs.,USA,SOLUTION/DROPS,OPHTHALMIC,IOPIDINE,1987-12-31,RX,0,1,0,1
674337,100207,SanofiAventis,France,CREAM,TOPICAL,DERMATOP E EMOLLIENT,1993-10-29,RX,0,1,0,1
674377,-1,St. Jude Children's Research Hospital,USA,TABLET,ORAL,TREST,1982-01-01,DISCN,1,0,0,1
674382,75454,Bayer-Schering,Germany,INJECTABLE,INJECTION,MAGNEVIST,1988-06-02,RX,0,0,1,1
674395,100208,Monsanto,USA,"AEROSOL, METERED",INHALATION,MAXAIR,1992-11-30,DISCN,0,1,0,1
674412,-1,Ohmeda Pharm. Prods.,USA,TABLET,ORAL,MIDODRINE HYDROCHLORIDE,2004-05-27,RX,1,0,0,1
674459,-1,Mallinckrodt,USA,INJECTABLE,INJECTION,HEXABRIX,1985-07-26,DISCN,0,0,1,1
674511,-1,Pfizer,USA,TABLET,ORAL,GUANABENZ ACETATE,1995-04-07,RX,1,0,0,1
674544,-1,Bristol-Myers Squibb,USA,INJECTABLE,INJECTION,PROHANCE,1992-11-16,RX,0,0,1,1
674546,-1,3M Pharmaceuticals,USA,TABLET,ORAL,PRE-SATE,1982-01-01,DISCN,1,0,0,1
674568,59327,Merck,USA,SUSPENSION/DROPS,OPHTHALMIC,VEXOL,1994-12-30,DISCN,0,1,0,1
674637,-1,Novartis,Switzerland,CREAM,TOPICAL,ELIDEL,2001-12-13,RX,0,1,0,1
674698,-1,Bristol-Myers Squibb,USA,CREAM,TOPICAL,AMMONIUM LACTATE,2003-04-10,RX,0,1,0,1
674749,100208,Angelini Group,Italy,TABLET,ORAL,TRAZODONE HYDROCHLORIDE,1993-03-24,RX,1,0,0,1
674756,-1,Merck,USA,"TABLET, EXTENDED RELEASE",ORAL,TIAMATE,1996-10-04,DISCN,1,0,0,1
674758,-1,Johnson & Johnson,USA,"FILM, EXTENDED RELEASE",TRANSDERMAL,ORTHO EVRA,2001-11-20,DISCN,0,1,0,1
674760,-1,Ohmeda Pharm. Prods.,USA,SOLUTION/DROPS,OPHTHALMIC,AZELASTINE HYDROCHLORIDE,2016-11-08,RX,0,1,0,1
674834,-1,Nycomed Amersham,UK,SUSPENSION/DROPS,OTIC,COLY-MYCIN S,1982-01-01,RX,0,1,0,1
674836,-1,GlaxoSmithKline,UK,TABLET,ORAL,ALOSETRON HYDROCHLORIDE,2015-05-04,RX,1,0,0,1
674883,-1,Bristol-Myers Squibb,USA,INJECTABLE,INJECTION,ISOVUE-128,1986-10-21,DISCN,0,0,1,1
